GEOID,B03002_001E,B03002_001M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_012E,B03002_012M
130670303191,1335,266,801,182,52,45,0,14,299,163,0,14,15,23,12,18,156,124
130670303192,1214,259,1074,257,43,72,0,14,63,61,0,14,0,14,6,10,28,46
130670303193,1896,396,1172,322,28,30,0,14,455,206,0,14,0,14,92,74,149,96
130670303271,2181,376,1601,358,51,88,0,14,228,132,0,14,0,14,173,161,128,114
130670303272,1550,663,815,260,499,607,0,14,130,101,0,14,22,39,84,76,0,14
130670303273,1391,296,931,220,110,104,0,14,58,68,0,14,74,117,30,29,188,109
130670303311,2035,508,1742,477,16,23,0,14,213,113,0,14,0,14,11,18,53,80
130670303312,951,466,494,279,293,309,0,14,120,161,0,14,0,14,0,14,44,59
130670303313,1160,334,1020,322,24,48,0,14,58,96,0,14,0,14,24,33,34,47
130670303314,1212,434,920,357,0,14,0,14,106,134,0,14,0,14,10,16,176,194
130670303321,1578,208,1289,207,0,14,0,14,101,81,0,14,0,14,148,97,40,37
130670303322,1445,397,1055,380,28,34,0,14,311,84,0,14,5,8,46,52,0,14
130670303341,1119,278,784,196,9,14,0,14,229,164,0,14,9,14,51,48,37,55
130670303342,2260,330,1497,364,177,190,0,14,348,78,0,14,22,33,50,48,166,115
130670303351,1282,387,963,372,14,22,0,14,115,86,0,14,0,14,30,34,160,147
130670303352,1181,271,1041,272,0,14,0,14,46,66,0,14,0,14,0,14,94,84
130670303353,1061,272,727,163,149,205,0,14,86,69,0,14,0,14,16,20,83,93
130670303354,1404,328,1216,303,26,40,0,14,31,51,0,14,16,26,55,50,60,47
130670303371,2204,553,1851,474,0,14,0,14,191,103,0,14,0,14,154,208,8,12
130670303372,2029,470,1517,430,63,84,0,14,138,87,17,28,33,30,155,86,106,97
130670303373,920,335,718,311,112,128,0,14,31,35,0,14,0,14,50,64,9,15
130670303431,2476,1138,2141,1148,34,55,0,14,109,73,0,14,0,14,118,76,74,63
130670303432,1906,289,1564,285,107,82,0,14,69,64,0,14,19,29,39,43,108,76
130670303441,1050,371,323,188,509,341,0,14,22,33,0,14,0,14,162,121,34,29
130670303443,1623,519,795,374,607,219,0,14,147,156,0,14,28,34,16,25,30,43
130670303451,1225,426,620,314,224,174,0,14,309,281,0,14,0,14,72,73,0,14
130670303452,4385,1121,1902,613,1205,645,0,14,135,95,0,14,4,7,198,236,941,1154
130670303453,1742,366,461,228,680,281,0,14,85,79,0,14,0,14,40,60,476,150
130670303454,976,456,152,150,284,275,0,14,540,389,0,14,0,14,0,14,0,14
130670303501,1078,219,738,206,53,45,0,14,132,85,0,14,47,30,83,62,25,26
130670303511,1392,401,1091,387,0,14,0,14,20,33,0,14,97,149,58,57,126,121
130670303512,2217,813,1567,736,237,230,0,14,24,40,0,14,0,14,113,108,276,385
130670303521,1889,474,1484,315,166,166,0,14,101,114,0,14,0,14,138,170,0,14
130670303522,2162,762,1749,845,164,156,0,14,161,209,0,14,0,14,32,36,56,58
