GEOID,B19013_001E,B19013_001M,B25077_001E,B25077_001M,B25064_001E,B25064_001M,B25003_001E,B25003_001M,B25003_003E,B25003_003M,B08301_001E,B08301_001M,B08301_003E,B08301_003M,B08301_004E,B08301_004M,B08301_010E,B08301_010M,B08301_016E,B08301_016M,B08301_017E,B08301_017M,B08301_018E,B08301_018M,B08301_019E,B08301_019M,B08301_020E,B08301_020M,B08301_021E,B08301_021M
13067030319,136343,20033,545200,129098,2355,218,1739,133,183,92,2121,212,1184,201,107,81,10,16,0,14,0,14,0,14,0,14,0,14,820,211
13067030327,142258,27649,470300,26023,2227,51,1866,324,368,300,2300,233,1454,256,131,67,0,20,0,20,0,20,0,20,0,20,11,18,704,148
13067030331,157868,63905,624700,43016,1798,1306,2019,228,59,51,2405,410,1515,346,64,60,0,20,0,20,0,20,0,20,28,27,7,12,791,267
13067030332,169028,20692,588800,41786,3104,2401,1072,131,43,40,1560,266,862,144,53,49,0,14,0,14,0,14,0,14,0,14,0,14,645,187
13067030334,177580,31246,621000,36593,2739,131,1167,74,115,66,1433,203,858,183,163,69,0,14,0,14,0,14,0,14,15,19,10,16,387,106
13067030335,178906,31569,602200,24208,2759,348,1678,140,63,54,2335,295,1530,294,97,53,0,14,0,14,0,14,0,14,6,10,20,23,682,161
13067030337,193681,36400,670600,54878,3238,447,1803,264,73,62,2285,311,1126,233,59,44,0,20,0,20,0,20,0,20,11,16,9,13,1080,274
13067030343,217083,38992,639600,21175,-666666666,-222222222,1828,349,23,25,2505,715,1722,709,61,41,0,20,0,20,0,20,0,20,0,20,9,14,713,136
13067030344,69419,24773,204200,25688,1739,139,1942,267,1683,277,2687,598,1768,429,271,231,0,14,80,129,0,14,0,14,25,39,32,53,511,189
13067030345,101000,16189,497400,122463,2006,108,4658,374,3954,380,5943,744,3269,579,141,127,19,32,0,20,88,134,0,20,117,100,328,249,1981,605
13067030350,124764,13870,427800,22254,2114,334,819,58,187,83,1209,114,883,111,111,61,4,7,0,14,0,14,0,14,9,11,13,22,189,69
13067030351,216683,56002,682000,82990,-666666666,-222222222,1085,229,45,44,1338,308,662,198,8,14,0,14,0,14,0,14,0,14,0,14,0,14,668,282
13067030352,179205,96938,948600,99241,3501,-333333333,2049,384,245,279,1982,281,1256,278,0,20,0,20,0,20,0,20,0,20,5,9,20,34,701,212
13067030353,95809,21879,387100,143779,1959,200,1823,188,806,183,2059,310,1177,263,78,70,0,14,0,14,0,14,0,14,52,68,43,44,709,254
13067030354,145509,41201,639500,74922,1786,71,1834,172,387,130,2503,327,1508,297,140,113,12,19,0,14,8,13,0,14,0,14,0,14,835,231
13067030355,97831,33282,-666666666,-222222222,1869,97,1107,211,1099,213,1257,253,933,239,40,46,0,14,0,14,0,14,0,14,0,14,0,14,284,129
13067030356,110170,19788,421400,48136,1815,70,2585,261,2087,304,3829,641,2296,663,74,83,86,112,53,62,0,14,0,14,0,14,52,62,1268,309
13067030357,165114,11939,460400,30342,2267,568,809,101,52,29,1187,136,746,125,55,37,0,14,11,17,0,14,0,14,13,20,34,35,328,95
13067030358,134917,33393,522100,72112,2206,117,1233,275,40,41,1788,314,1094,330,61,52,0,14,0,14,0,14,0,14,22,29,17,21,594,173
13067030359,181577,31977,588700,54972,3037,718,1491,132,114,60,2261,326,1243,227,49,45,0,14,18,25,0,14,1,3,0,14,141,184,809,171
13067030360,220833,36924,607900,29749,-666666666,-222222222,802,144,26,29,1172,214,570,174,42,33,0,14,0,14,0,14,4,7,21,26,0,14,535,174
