map_unit,name,age,description,geomaterial,hierarchy
Qu,"Quaternary units, undifferentiated",Quaternary,A few areas of colluvium mapped locally.,Sedimentary material,"02"
Tu,Tertiary rocks,Tertiary,Undifferentiated Tertiary rocks.,Sedimentary material,"04"
PZu,Undifferentiated Paleozoic rocks,Paleozoic,Mostly metamorphic rocks with poorly constrained ages and/or protoliths.,Metamorphic rock,"08"
pC,Undifferentiated Precambrian rocks,Precambrian,"Poorly dated metamorphic, igneous, and sedimentary rocks known or suspected to be Precambrian.",Metamorphic rock,"10"
Qv,Volcanic rocks,Quaternary,"Mostly intermediate to mafic lava flows and lesser rhyolite, includes other extrusive materials and minor intrusive rocks.",Extrusive igneous material,"02-02"
water,Water and ice,Modern,"Primarily water bodies, locally includes glacial ice.",Water or ice,"01-01"
af,Artificial fill,Modern,"Modern, unconsolidated material known to have human-related origin.","""Made"" or human-engineered land","01-02"
unmapped,Unmapped areas,Not applicable,Areas not covered by mapped geology in primary sources.,Unmapped area,"01-03"
Ts,Sedimentary rocks,Tertiary,"Mostly sandstone and mudstone with minor carbonate, age constrained only to the Tertiary.",Sedimentary rock,"04-01"
Tvi,Extrusive igneous rocks,Tertiary,"Extrusive igneous rocks whose age and nature are only described in a general way, or lumped regional map units that contain a wide variety of Tertiary igneous rocks.",Extrusive igneous material,"04-02"
MZms,Sedimentary and metasedimentary rocks,Mesozoic,Mostly sandstone and mudstone.,Sandstone and mudstone,"06-01"
MZim,Undifferentiated igneous and metamorphic rocks,Mesozoic,"Mostly coarse-grained felsic to intermediate intrusive rocks, numerous mafic dikes, and a variety of other compositions and textures.",Intrusive igneous rock,"06-04"
Ks,Sedimentary rocks,Cretaceous,"Mostly sandstone and mudstone, minor carbonate rocks.",Sandstone and mudstone,"06-01-01"
Js,Sedimentary rocks,Jurassic,"Mostly sandstone and mudstone, with minor carbonate rocks.",Sandstone and mudstone,"06-01-02"
TRs,Sedimentary rocks,Triassic,Clastic sedimentary rocks and minor carbonate rocks.,Sedimentary rock,"06-01-03"
PZpCu,Undifferentiated Paleozoic to Precambrian rocks,Paleozoic to Precambrian,Variably metamorphosed sedimentary rocks.,Metasedimentary rock,"09"
TMZu,Undifferentiated Tertiary and Mesozoic rocks,Tertiary to Mesozoic,"Mix of units with poorly constrained ages that range from Tertiary to Mesozoic, mostly extrusive igneous rocks. Includes orthogneiss in Washington State.",Sedimentary rock,"05"
TMZum,Ultramafic rocks,Tertiary to Mesozoic,"Primiarly ultramafic intrusive rocks; may locally include other rock types.",Ultramafic intrusive igneous rock,"05-01"
ngTs,Sedimentary rocks,Neogene,Unconsolidated clastic sediment and sedimentary rock.,Sedimentary rock,"04-01-01"
pgTs,Sedimentary rocks,Paleogene,"Mostly clastic sedimentary rocks, with minor carbonate.",Sedimentary rock,"04-01-02"
PZms,Sedimentary and metasedimentary rocks,Paleozoic,Sedimentary and mostly low-grade metasedimentary rocks with poorly constrained ages or ages that span multiple periods within the Paleozoic.,Sedimentary rock,"08-01"
PZi,Paleozoic igneous and metaigneous rocks,Paleozoic,"Mostly plutonic and metamorphosed plutonic rocks, lesser extrusive volcanic rocks.",Coarse-grained intrusive igneous rock,"08-02"
MZPZu,Undifferentiated Mesozoic and Paleozoic rocks,Mesozoic to Paleozoic,"Sedimentary, igneous, and metamorphic rocks whose ages may span the Meosozoic to Paleozoic boundary (primarily units whose ages are constrained only to a broad range).",Sedimentary rock,"07"
Ps,Sedimentary rocks,Permian,Clastic sedimentary and carbonate rocks.,Sedimentary rock,"08-01-01"
PNs,Sedimentary rocks,Pennsylvanian,Mostly clastic sedimentary rocks with lesser carbonate and minor other lithologies.,Clastic sedimentary rock,"08-01-03"
Ms,Sedimentary rocks,Mississippian,Clastic sedimentary and carbonate rocks.,Sedimentary rock,"08-01-04"
Ds,Sedimentary rocks,Devonian,"Clastic sedimentary and carbonate rocks, minor chert.",Sedimentary rock,"08-01-06"
Ss,Sedimentary rocks,Silurian,Carbonate and clastic sedimentary rocks.,Sedimentary rock,"08-01-07"
Os,Sedimentary rocks,Ordovician,"Carbonate and clastic sedimentary rocks, includes some metasedimentary rocks.",Sedimentary rock,"08-01-08"
PRu,Undifferentiated Proterozoic rocks,Proterozoic,"Undifferentiated Proterozoic metamorphic and igneous rocks; locally includes Proterozoic quartzites.",Metamorphic rock,10-01
MZv,Volcanic rocks,Mesozoic,"Extrusive igneous rocks of all types, predominantly lava flows and variably reworked pyroclastic rocks.",Extrusive igneous material,"06-04-01"
Ksl,Sedimentary rocks,Late Cretaceous,"Mostly sandstone and mudstone, with minor carbonate rocks.",Sandstone and mudstone,"06-01-01-01"
Kse,Sedimentary rocks,Early Cretaceous,"Sandstone, mudstone, and limestone.",Sedimentary rock,"06-01-01-02"
plTs,Sedimentary rocks,Pliocene,Unconsolidated clastic sediment and sedimentary rock.,Sedimentary rock,"04-01-01-01"
mTs,Sedimentary rocks,Miocene,Mostly clastic sedimentary rocks.,Sedimentary rock,"04-01-01-02"
oTs,Sedimentary rocks,Oligocene,"Mostly clastic sedimentary rocks, with minor carbonate.",Sedimentary rock,"04-01-02-01"
eTs,Sedimentary rocks,Eocene,"Mostly sandstone and mudstone, with minor carbonate.",Sedimentary rock,"04-01-02-02"
paTs,Sedimentary rocks,Paleocene,"Mostly sandstone and mudstone, minor carbonate.",Sedimentary rock,"04-01-02-03"
Tvm,Mafic volcanic rocks,Tertiary,"Mostly mafic lava flows, minor mafic pyroclastic flows.",Mafic-composition lava flows,"04-02-04"
Olms,Sedimentary rocks,Late and Middle Ordovician,"Mostly carbonate and some clastic sedimentary rocks, includes some metasedimentary rocks.",Sedimentary rock,"08-01-08-01"
Oes,Sedimentary rocks,Early Ordovician,Carbonate rocks and lesser clastic sedimentary rocks.,Mostly carbonate rock,"08-01-08-02"
Psl,Sedimentary rocks,Lopingian,"Clastic sedimentary, carbonate, and minor evaporitic rocks.",Sedimentary rock,"08-01-01-01"
Psm,Sedimentary rocks,Guadalupian,"Clastic sedimentary, carbonate, and minor evaporitic rocks.",Sedimentary rock,"08-01-01-02"
Pse,Sedimentary rocks,Cisuralian,Mostly clastic sedimentary rocks with lesser carbonate and minor evaporitic rock.,Clastic sedimentary rock,"08-01-01-03"
PNsl,Sedimentary rocks,Late Pennsylvanian,Clastic sedimentary and carbonate rocks.,Sedimentary rock,"08-01-03-01"
PNsm,Sedimentary rocks,Middle Pennsylvanian,Clastic sedimentary and carbonate rocks.,Sedimentary rock,"08-01-03-02"
PNse,Sedimentary rocks,Early Pennsylvanian,Clastic sedimentary and carbonate rocks.,Sedimentary rock,"08-01-03-03"
PZpCm,Metamorphic rocks,Paleozoic to Precambrian,Metamorphic rocks with poorly constrained ages that may range from Paleozoic to Precambrian.,"Medium and high-grade regional metamorphic rock, of unspecified origin","09-02"
PZpCms,Metasedimentary rocks,Paleozoic to Precambrian,"Metasedimentary rocks of variable metamorphic grade, with poorly constrained ages that may range from Paleozoic to Precambrian.",Metasedimentary rock,"09-02-01"
PZpCg,Igneous rocks,Paleozoic to Precambrian,"Poorly dated, mostly intrusive igneous rocks, includes some metavolcanic rocks.",Coarse-grained intrusive igneous rock,"09-03"
PZpCum,Ultramafic rocks,Paleozoic to Precambrian,Variably altered and metamorphosed ultramafic rocks.,Meta-ultramafic rock,"09-01"
