source_unit,name,age,description,geomaterial
52|ms1,Amphibolitic schist,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|bg3,Biotite gneiss / Hornblende gneiss / Granite gneiss,Precambrian and/or Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|To,Ocala Limestone,Eocene,"Generally covered with Oligocene and Eocene residuum (Flint River Formation of Cooke, 1939); includes up-dip area, Tivola Limestone of Connell (1955). (*)- outcrops of Ocala Limestone on Dougherty Plain.",Limestone
52|mm10,Amphibolite / Metagraywacke / Mica schist,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|Qas,Formless deposits,Quaternary,,Eolian sediment
52|um,"Ultramafic rocks, undifferentiated",Precambrian to Paleozoic,,Ultramafic intrusive igneous rock
52|gr5,Syenite,Precambrian and/or Paleozoic,,"Coarse-grained, felsic-composition intrusive igneous rock"
52|Mls,Lavender Shale Member,Mississippian,,Mudstone
52|Tm,Miccosukee Formation,Neogene,,Sandstone and mudstone
52|bg4,Biotite gneiss / Mica schist,Precambrian and/or Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|CAcr,Copper Ridge Dolomite,Cambrian,,Dolomite
52|ms3,Amphibolitic schist / Amphibolite-metagraywacke / Mica schist,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|q2,Quartzite / Biotite granite gneiss,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|gg1,"Granitic gneiss, undifferentiated",Precambrian and/or Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|CAs,Shady Dolomite,Cambrian,,Dolomite
52|PNls,Sewanee Sandstone,Pennsylvanian,,Mostly sandstone
52|Qal,Stream alluvium,Quaternary,Stream alluvium and undifferentiated terrace deposits,Alluvial sediment
52|fg2,"Biotitic gneiss, undifferentiated",Precambrian and/or Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|q1a,Quartzite / Mica schist,Precambrian to Paleozoic,,"Schist and gneiss, of sedimentary-rock origin"
52|gr1b,Porphyritic granite,Precambrian and/or Paleozoic,,"Coarse-grained, felsic-composition intrusive igneous rock"
52|Omb,Moccasin Limestone and Bays Formation,Ordovician,Includes Moccasin Limestone and Bays Formation.,Mostly carbonate rock
52|Tis,Sandersville Limestone,Eocene,,Mostly sandstone
52|Kt,Tuscaloosa Formation,Cretaceous,,Mostly sandstone
52|Qwi,Barrier island facies,Pleistocene,,"Coastal zone sediment, mostly coarse-grained"
